bookID,isbn,title,author,publicationdate,Genre,CoveimageUrl,totalCopies,availabeCopies
00000000-0000-0000-0000-000000002bc1,0cd69ed8-fdd0-4690-9d7b-903ee317697d,The mystery of Kun-Ja-Muck cave,"southard, frank r., brieger press, tibbitts, george f. (george franklin)",1924-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryofkunjamu00tibb:mysteryofkunjamu00tibb_0009/full/pct:25.0/0/default.jpg#h=877&w=537,5,5
00000000-0000-0000-0000-000000002c25,70bfe37b-0fed-4357-a447-9088548743ee,"The mystery of no. 13,","mathers, helen",1890-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryofno1300math:mysteryofno1300math_0011/full/pct:25.0/0/default.jpg#h=826&w=480,5,5
00000000-0000-0000-0000-000000002c89,f758694b-fd59-4de0-a32a-470c77036933,"The mystery of Louise Pollard,","[webster, weldon]",1893-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryoflouisep00webs:mysteryoflouisep00webs_0007/full/pct:25.0/0/default.jpg#h=869&w=510,5,5
00000000-0000-0000-0000-000000002ced,3b015c32-633d-4739-b080-71d85c85391e,"The mystery of the downs,","watson, john reay",1918-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryofdowns00wats:mysteryofdowns00wats_0007/full/pct:25.0/0/default.jpg#h=843&w=504,5,5
00000000-0000-0000-0000-000000002d51,e9b07db2-7c23-472e-8ab8-81716d377af1,"The lone inn; a mystery,","hume, fergus",1895-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:loneinnmystery00hume:loneinnmystery00hume_0007/full/pct:25.0/0/default.jpg#h=805&w=379,5,5
00000000-0000-0000-0000-000000002db5,3de6f922-db42-4be2-b648-8c5dbf3d3bbe,The mystery of Ashton hall,"austin, b. f. (benjamin fish)",1910-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryofashtonh00aust:mysteryofashtonh00aust_0009/full/pct:25.0/0/default.jpg#h=918&w=573,5,5
00000000-0000-0000-0000-000000002e19,01b33bac-bb88-48d0-a7ee-16de3b43c917,The divine mystery.,"clymer, r. swinburne (reuben swinburne)",1910-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:divinemystery00clym:divinemystery00clym_0007/full/pct:12.5/0/default.jpg#h=519&w=307,5,5
00000000-0000-0000-0000-000000002e7d,e44c3fbf-8e7c-4f96-ad7e-0e89179bf28a,The Barton Mystery,"federal theatre project (u.s.), hackett, walter",1934-12-31,Default,https://tile.loc.gov/image-services/iiif/public:music:musftpplaybills-200220243:musftpplaybills-200220243.0001/full/pct:12.5/0/default.jpg,5,5
00000000-0000-0000-0000-000000002ee1,fe4da0b7-0766-4b5a-a23e-adc9280f66d2,The shining mystery ...,"carr, albert",1909-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:shiningmystery00carr:shiningmystery00carr_0003/full/pct:25.0/0/default.jpg#h=708&w=491,5,5
00000000-0000-0000-0000-000000002f45,e9bed479-ebbe-4151-b8f3-162068a64e97,"The mystery of Frances Farrington,","banks, elizabeth l.",1909-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysteryoffrances00bank:mysteryoffrances00bank_0003/full/pct:12.5/0/default.jpg#h=548&w=342,5,5
00000000-0000-0000-0000-000000002fa9,f93a6973-55b4-4b85-bfeb-e741a9cdf4d2,"The deeper mysteries,","farnsworth, edward clarence",1921-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:deepermysteries00farn:deepermysteries00farn_0007/full/pct:25.0/0/default.jpg#h=958&w=543,5,5
00000000-0000-0000-0000-00000000300d,1fe369a9-e7b7-4f33-ae75-26a61f9784f5,The Barton Mystery,"federal theatre project (u.s.), hackett, walter",1934-12-31,Default,https://tile.loc.gov/image-services/iiif/public:music:musftpplaybills-200220244:musftpplaybills-200220244.0001/full/pct:12.5/0/default.jpg,5,5
